Rank,Name,Industry,Revenue,Profit,Employees,Headquarters[note 1],Revenue per worker
1,Walmart,Retail,"$611,289","$11,680","2,100,000",United States,"$291,090.00"
2,Saudi Aramco,Oil and gas,"$603,651","$159,069","70,496",Saudi Arabia,"$8,562,911.37"
3,Amazon,Retail,"$574,785","$30,425","1,525,000",United States,"$376,908.20"
4,State Grid Corporation of China,Electricity,"$530,009","$8,192","870,287",China,"$609,004.85"
5,Vitol,Commodities,"$505,000","$15,000","1,560",Switzerland,"$323,717,948.72"
6,China National Petroleum Corporation,Oil and gas,"$483,019","$21,080","1,087,049",China,"$444,339.68"
7,China Petrochemical Corporation,Oil and gas,"$471,154","$9,657","527,487",China,"$893,204.95"
8,ExxonMobil,Oil and gas,"$413,680","$55,740","63,000",United States,"$6,566,349.21"
9,Apple,Electronics,"$394,328","$99,803","164,000",United States,"$2,404,439.02"
10,Shell,Oil and gas,"$386,201","$20,120","93,000",United Kingdom,"$4,152,698.92"
11,UnitedHealth Group,Healthcare,"$324,162","$20,120","400,000",United States,"$810,405.00"
12,CVS Health,Healthcare,"$322,467","$4,149","259,500",United States,"$1,242,647.40"
13,Trafigura,Commodities,"$318,476","$6,994","12,347",Singapore,"$25,793,796.06"
14,China State Construction Engineering,Construction,"$305,885","$4,234","382,492",China,"$799,716.07"
15,Berkshire Hathaway,Financials,"$302,089","−$22,819","383,000",United States,"$788,744.13"
16,Volkswagen Group,Automotive,"$293,685","$15,233","675,805",Germany,"$434,570.62"
17,Uniper,Electricity,"$288,309","−$19,961","7,008",Germany,"$41,139,982.88"
18,Alphabet,Information technology,"$282,836","$59,972","190,234",United States,"$1,486,779.44"
19,McKesson,Healthcare,"$276,711","$3,560","48,000",United States,"$5,764,812.50"
20,Toyota,Automotive,"$274,491","$18,110","375,235",Japan,"$731,517.58"
21,TotalEnergies,Oil and gas,"$263,310","$20,526","101,279",France,"$2,599,847.94"
22,Glencore,Commodities,"$255,984","$17,320","81,284",Switzerland,"$3,149,254.47"
23,BP,Oil and gas,"$248,891","−$2,487","67,600",United Kingdom,"$3,681,819.53"
24,Chevron,Oil and gas,"$246,252","$35,465","43,846",United States,"$5,616,293.39"
25,Cencora,Healthcare,"$238,587","$1,699","41,500",United States,"$5,749,084.34"
26,Samsung Electronics,Electronics,"$234,129","$42,398","270,372",South Korea,"$865,951.36"
27,Costco,Retail,"$226,954","$5,844","304,000",United States,"$746,559.21"
28,Foxconn,Electronics,"$222,535","$4,751","767,062",Taiwan,"$290,113.45"
29,Industrial and Commercial Bank of China,Financials,"$214,766","$53,589","427,587",China,"$502,274.39"
30,Microsoft,Information technology,"$211,915","$73,307","221,000",United States,"$897,149.32"
31,China Construction Bank,Financials,"$202,753","$48,145","376,682",China,"$538,260.39"
32,Stellantis,Automotive,"$188,888","$17,669","272,367",Netherlands,"$693,505.45"
33,Agricultural Bank of China,Financials,"$187,061","$38,524","452,258",China,"$413,615.68"
34,Ping An Insurance,Financials,"$181,566","$12,454","344,223",China,"$527,466.21"
35,Cardinal Health,Healthcare,"$181,364",−$933,"46,035",United States,"$3,939,698.06"
36,Cigna,Healthcare,"$180,516","$6,668","70,231",United States,"$2,570,317.95"
37,Marathon Petroleum,Oil and gas,"$180,012","$14,516","17,800",United States,"$10,113,033.71"
38,Phillips 66,Oil and gas,"$175,702","$11,024","13,000",United States,"$13,515,538.46"
39,Sinochem,Chemicals,"$173,834",–$1,"220,760",China,"$787,434.32"
40,China Railway Engineering Corporation,Construction,"$171,669","$2,035","314,792",China,"$545,341.05"
41,Valero Energy,Oil and gas,"$171,189","$11,528","9,743",United States,"$17,570,460.84"
42,Gazprom,Oil and gas,"$167,832","$17,641","468,000",Russia,"$358,615.38"
43,Cargill,Conglomerate,"$165,000",...,"155,000",United States,"$1,064,516.13"
44,China National Offshore Oil Corporation,Oil and gas,"$164,762","$16,988","81,775",China,"$2,014,821.16"
45,China Railway Construction Corporation,Construction,"$163,037","$1,800","342,098",China,"$476,579.81"
46,Baowu,Steel,"$161,698","$2,493","245,675",China,"$658,178.49"
47,Schwarz Gruppe,Retail,"$159,800",...,"575,000",Germany,"$277,913.04"
48,Mitsubishi Group,Conglomerate,"$159,371","$8,723","79,706",Japan,"$1,999,485.61"
49,Ford Motor Company,Automotive,"$158,057","−$1,981","173,000",United States,"$913,624.28"
50,Mercedes-Benz Group,Automotive,"$157,403","$15,252","168,797",Germany,"$932,498.80"
